latitude,longitude,name,desc,color,source,precision
42.405575,-71.082401,"590 Fellsway, Medford, MA 02155","590 Fellsway, Medford, Middlesex, MA, US",,MapQuest,address
42.418863,-71.112351,"85 High Street, Medford, MA 02155","85 High St, Medford, Middlesex, MA, US",,MapQuest,address
42.724622,-71.184327,"233 Broadway, Methuen, MA 01844","233 Broadway, Methuen, Essex, MA, US",,MapQuest,address
42.722963,-71.157572,"76 Swan St, Methuen, MA 01844","76 Swan St, Methuen, Essex, MA, US",,MapQuest,address
41.883494,-70.912763,"8 Merchants Way, Middleborough, MA 01569","8 Merchants Way, Middleborough, Plymouth, MA, US",,MapQuest,address
42.14957,-71.50012,"50 Medway Rd., Milford, MA 01757","50 Medway Rd, Milford, Worcester, MA, US",,MapQuest,address
41.260865,-70.048441,"22 New South Road, Nantucket, MA 02554","22 New South Rd, Nantucket, Nantucket, MA, US",,MapQuest,address
42.282641,-71.374991,"137 West Central Street, Natick, MA 01760","137 W Central St, Natick, Middlesex, MA, US",,MapQuest,address
42.299136,-71.387174,"1235 Worcester St, Natick, MA 01760","1235 Worcester St, Natick, Middlesex, MA, US",,MapQuest,address
42.303975,-71.217091,"100 2nd Avenue, Needham, MA 02494","100 2nd Ave, Needham Heights, Norfolk, MA, US",,MapQuest,address
41.657918,-70.929386,"136 Ashley Blvd., New Bedford, MA 02746","136 Ashley Blvd, New Bedford, Bristol, MA, US",,MapQuest,address
41.681437,-70.933884,"786 Ashley Blvd., New Bedford, MA 02745","786 Ashley Blvd, New Bedford, Bristol, MA, US",,MapQuest,address
42.819678,-70.909876,"75 Storey Ave., Newburyport, MA 01950","75 Storey Ave, Newburyport, Essex, MA, US",,MapQuest,address
42.318936,-71.211539,"978 Boylston St., Newton, MA 02461","978 Boylston St, Newton Highlands, Middlesex, MA, US",,MapQuest,address
42.299048,-71.186701,"777 Dedham St, Newton, MA 02459","777 Dedham St, Newton Center, Middlesex, MA, US",,MapQuest,address
42.701348,-73.113651,"70 Marshall St., North Adams, MA 01247","70 Marshall St, North Adams, Berkshire, MA, US",,MapQuest,address
42.700324,-73.16561,"876 State Road. Rte 2, North Adams, MA 01247","876 State Rd, 2, North Adams, Berkshire, MA, US",,MapQuest,address
42.08886,-71.093081,"2 Roche Brothers Way, North Easton, MA 02356","2 Roche Brothers Way, North Easton, Bristol, MA, US",,MapQuest,address
42.219612,-71.698036,"100 Worcester St, North Grafton, MA 01536","100 Worcester St, North Grafton, Worcester, MA, US",,MapQuest,address
42.341608,-72.640877,"136 N King St Route 5, Northampton, MA 01060","136 N King St, 5, Northampton, Hampshire, MA, US",,MapQuest,address
42.314022,-72.62833,"67 Conz Street, Northampton, MA 01060","67 Conz St, Northampton, Hampshire, MA, US",,MapQuest,address
42.292378,-71.672807,"9102 Shops Way, Northborough, MA 01532","9102 Shops Way, Northborough, Worcester, MA, US",,MapQuest,address
41.774397,-69.995135,"40 Giddiah Hill Rd, Orleans, MA 02653","40 Giddiah Hill Rd, Orleans, Barnstable, MA, US",,MapQuest,address
41.7964,-69.98321,"Route 3 6A Cranberry Cove Plaza, Orleans, MA 02653","6 Old State Highway, Orleans, MA, US",,MapQuest,address
42.157735,-72.329725,"1001 Thorndike St., Palmer, MA 01069","1001 Thorndike St, Palmer, Hampden, MA, US",,MapQuest,address
42.522964,-70.920205,"174 Main St., Peabody, MA 01960","174 Main St, Peabody, Essex, MA, US",,MapQuest,address
42.524599,-70.953187,"10 Centennial Drive, Peabody, MA 01960","10 Centennial Dr, Peabody, Essex, MA, US",,MapQuest,address
42.437876,-73.25682,"369 South St, Pittsfield, MA 01201","369 South St, Pittsfield, Berkshire, MA, US",,MapQuest,address
42.457957,-73.317024,"1350 West St., Pittsfield, MA 01201","1350 West St, Pittsfield, Berkshire, MA, US",,MapQuest,address
42.449403,-73.260013,"200 West Street, Pittsfield, MA 01201","200 West St, Pittsfield, Berkshire, MA, US",,MapQuest,address
42.468996,-73.196484,"555 Hubbard Ave, Pittsfield, MA 01201","555 Hubbard Ave, Pittsfield, Berkshire, MA, US",,MapQuest,address
42.412522,-73.27055,"Dan Fox Drive, Pittsfield, MA 01201","[1 - 199] Dan Fox Dr, Pittsfield, Berkshire, MA, US",,MapQuest,street
42.469547,-73.203775,"37 Cheshire Road, Pittsfield, MA 01201","37 Cheshire Rd, Pittsfield, Berkshire, MA, US",,MapQuest,address
42.252344,-70.988348,"626 Southern Artery, Rte 3A, Quincy, MA 02169","626 Southern Artery, 3a, Quincy, Norfolk, MA, US",,MapQuest,address
42.16524,-71.043067,"171 North Main Street, Randolph, MA 02368","171 N Main St, Randolph, Norfolk, MA, US",,MapQuest,address
42.169007,-71.039193,"128 Pleasant St, Randolph, MA 02368","128 Pleasant St, Randolph, Norfolk, MA, US",,MapQuest,address
42.426202,-71.012641,"339 Squire Road, Revere, MA 02151","339 Squire Rd, Revere, Suffolk, MA, US",,MapQuest,address
42.410776,-71.01188,"430 Broadway, Revere, MA 02151","430 Broadway, Revere, Suffolk, MA, US",,MapQuest,address
42.286388,-71.130113,"17 Corinth Street, Roslindale, MA 02131","17 Corinth St, Roslindale, Suffolk, MA, US",,MapQuest,address
42.317473,-71.098236,"1890 Columbus Ave, Roxbury, MA 02119","1890 Columbus Ave, Roxbury, Suffolk, MA, US",,MapQuest,address
42.316948,-71.082531,"416 Warren St, Roxbury, MA 02119","416 Warren St, Roxbury, Suffolk, MA, US",,MapQuest,address
42.375558,-71.956993,"280 Main Street, Rutland, MA 01543","280 Main St, Rutland, Worcester, MA, US",,MapQuest,address
42.500822,-70.895976,"300 Canal Street, Salem, MA 01970","300 Canal St, Salem, Essex, MA, US",,MapQuest,address
42.490189,-71.018488,"166 Walnut St, Saugus, MA 01906","166 Walnut St, Saugus, Essex, MA, US",,MapQuest,address
41.887938,-71.333124,"1479 Newman Ave., Seekonk, MA 02771","1479 Newman Ave, Seekonk, Bristol, MA, US",,MapQuest,address
42.615075,-72.754459,"26 Ashfield Rd, Shelburne Falls, MA 01370","26 Ashfield Rd, Shelburne Falls, Franklin, MA, US",,MapQuest,address
42.277293,-71.697686,"731 Boston Turnpike, Shrewsbury, MA 01545","731 Boston Tpke, Shrewsbury, Worcester, MA, US",,MapQuest,address
41.747333,-71.145665,"296 Buffinton St., Somerset, MA 02726","296 Buffinton St, Somerset, Bristol, MA, US",,MapQuest,address
42.222729,-72.572097,"44 Willimansett Street, South Hadley, MA 01075","44 Willimansett St, South Hadley, Hampshire, MA, US",,MapQuest,address
41.685579,-70.208693,"465 Station Avenue, South Yarmouth, MA 02664","465 Station Ave, South Yarmouth, Barnstable, MA, US",,MapQuest,address
42.076626,-72.035806,"399 Main St, Southbridge, MA 01550","399 Main St, Southbridge, Worcester, MA, US",,MapQuest,address
42.068286,-72.028375,"153 Chestnut St, Southbridge, MA 01550","153 Chestnut St, Southbridge, Worcester, MA, US",,MapQuest,address
